text,sentiment
Awesome product!,positive
It's okay.,neutral
I absolutely love this!,positive
Very poor quality.,negative
Average experience.,neutral
This made my day!,positive
I hated this product.,negative
Not worth the money.,negative
This made my day!,positive
Awesome product!,positive
Completely useless.,negative
I hated this product.,negative
Exceeded my expectations.,positive
What a fantastic result!,positive
Awesome product!,positive
It's okay.,neutral
Neutral opinion here.,neutral
Not worth the money.,negative
Very satisfied with the service.,positive
Exceeded my expectations.,positive
Terrible experience.,negative
What a fantastic result!,positive
Awesome product!,positive
Completely useless.,negative
It does the job.,neutral
I absolutely love this!,positive
Awful support.,negative
Best ever!,positive
I hated this product.,negative
Awesome product!,positive
Meh.,neutral
This is amazing!,positive
Worst service ever.,negative
It broke after one use.,negative
Exceeded my expectations.,positive
I hated this product.,negative
What a fantastic result!,positive
Worst service ever.,negative
Neutral opinion here.,neutral
Best ever!,positive
Satisfactory.,neutral
It's okay.,neutral
Best ever!,positive
Not worth the money.,negative
Awful support.,negative
I'm never buying this again.,negative
Highly recommended!,positive
It's okay.,neutral
This made my day!,positive
It broke after one use.,negative
This made my day!,positive
Worst service ever.,negative
I absolutely love this!,positive
Very satisfied with the service.,positive
Really disappointed.,negative
Very satisfied with the service.,positive
Very satisfied with the service.,positive
This made my day!,positive
Terrible experience.,negative
Average experience.,neutral
I absolutely love this!,positive
Awesome product!,positive
It broke after one use.,negative
Average experience.,neutral
Worst service ever.,negative
Just okay.,neutral
What a fantastic result!,positive
It's okay.,neutral
Completely useless.,negative
Exceeded my expectations.,positive
Satisfactory.,neutral
It broke after one use.,negative
I absolutely love this!,positive
Just okay.,neutral
What a fantastic result!,positive
I hated this product.,negative
Worst service ever.,negative
Satisfactory.,neutral
Nothing special.,neutral
"Not bad, not great.",neutral
Exceeded my expectations.,positive
Worst service ever.,negative
Satisfactory.,neutral
Not worth the money.,negative
This is amazing!,positive
Nothing special.,neutral
What a fantastic result!,positive
Very poor quality.,negative
Highly recommended!,positive
Just okay.,neutral
It's okay.,neutral
Average experience.,neutral
Average experience.,neutral
Best ever!,positive
This made my day!,positive
Average experience.,neutral
Highly recommended!,positive
I hated this product.,negative
Exceeded my expectations.,positive
Fine for the price.,neutral
Very poor quality.,negative
"Not bad, not great.",neutral
Very satisfied with the service.,positive
Awful support.,negative
Best ever!,positive
Awesome product!,positive
Nothing special.,neutral
